id,name,topics,n_star,n_fork,languages,p_lang
r_77,adamhjk/puppet,[],3,0,"['l_0', 'l_4', 'l_12', 'l_27', 'l_28', 'l_8', 'l_11', 'l_2']","['98.60', '0.59', '0.35', '0.31', '0.11', '0.03', '0.00', '0.00']"
r_78,jfernandez/submarine,[],4,0,['l_0'],['100.00']
r_79,technoweenie/can_search,[],93,8,['l_0'],['100.00']
r_80,bruce/rtex,[],56,25,['l_0'],['100.00']
r_81,myabc/nbmerb,[],5,0,['l_13'],['100.00']
r_82,halfbyte/cmdv3,[],3,1,"['l_1', 'l_0']","['78.44', '21.56']"
r_83,jney/catface,[],10,4,['l_1'],['100.00']
r_84,signup-disabled/mega,[],3,0,[],[]
r_85,shayanoh/ismile,[],3,0,['l_18'],['100.00']
r_86,cv/rolling-with-the-punches,[],18,3,['l_0'],['100.00']
r_87,tjackiw/uses_connection,[],6,0,['l_0'],['100.00']
r_88,napcs/docbook5-tmbundle,[],8,1,['l_0'],['100.00']
r_89,joevandyk/monkeycharger,[],31,0,"['l_0', 'l_1']","['99.63', '0.37']"
r_90,torstenschuenemann/testintorstengithub,[],3,0,[],[]
r_91,drnic/newjs,[],21,7,"['l_0', 'l_1']","['74.41', '25.59']"
r_92,mirven/euler-erlang,[],3,0,['l_7'],['100.00']
r_93,cyu/beast_style_editor_plugin,[],3,0,['l_0'],['100.00']
r_94,osteele/sequentially,"['javascript-library', 'functional-programming', 'reactive-programming']",14,3,['l_1'],['100.00']
r_95,stuarthalloway/phoenix-emacs,[],4,2,['l_12'],['100.00']
r_96,tadman/involatile,[],3,0,['l_0'],['100.00']
r_97,halfbyte/amazon_product_lookup,[],6,0,"['l_0', 'l_1']","['67.86', '32.14']"
r_98,stuarthalloway/relevance-ruby-samples,[],5,4,"['l_0', 'l_1']","['99.51', '0.49']"
r_99,nimblemachines/muforth,[],110,27,"['l_29', 'l_30', 'l_24', 'l_6', 'l_31', 'l_4', 'l_11', 'l_32', 'l_28']","['87.57', '4.67', '3.80', '2.85', '0.39', '0.34', '0.17', '0.16', '0.04']"
r_100,kmarsh/foo_tools,[],3,1,['l_0'],['100.00']
r_101,drnic/magic_metaclass,[],8,2,"['l_0', 'l_1']","['62.26', '37.74']"
r_102,mperham/tracknowledge,[],4,1,"['l_0', 'l_1']","['64.95', '35.05']"
r_103,JoshBorke/treesync,[],3,0,['l_24'],['100.00']
r_104,czottmann/wow-dwarvenizer-trollizer,[],3,1,"['l_24', 'l_4']","['98.87', '1.13']"
r_105,sunny/edith,[],74,23,"['l_3', 'l_14', 'l_1', 'l_2', 'l_20']","['90.30', '3.60', '3.22', '2.43', '0.45']"
r_106,planetbeing/libdmg-hfsplus,[],150,100,"['l_6', 'l_33', 'l_9', 'l_11']","['99.07', '0.63', '0.29', '0.01']"
r_107,rubaidh/namespaced_nested_resources,[],4,1,['l_0'],['100.00']
r_108,britt/hivedb-blobject,[],6,1,['l_13'],['100.00']
r_109,timcharper/git-tmbundle,[],285,71,"['l_0', 'l_1']","['98.35', '1.65']"
r_110,gitter/gitter,[],9,0,[],[]
r_111,openmoney/openmoney-server,[],7,0,"['l_0', 'l_1']","['99.86', '0.14']"
r_112,gabrielsaldana/twext,[],5,0,"['l_1', 'l_3']","['65.67', '34.33']"
r_113,dokai/hexagonit-swfheader,[],5,4,['l_8'],['100.00']
r_114,infused/retrospect-gds,[],9,2,"['l_3', 'l_1']","['98.91', '1.09']"
r_115,cardmagic/prototype,[],2,0,"['l_1', 'l_0']","['96.51', '3.49']"
r_116,CMon/dld,[],2,0,"['l_6', 'l_9', 'l_30', 'l_11', 'l_34', 'l_18', 'l_4']","['44.11', '33.09', '21.50', '0.44', '0.42', '0.40', '0.05']"
r_117,jchris/appdrop,[],34,3,"['l_0', 'l_8', 'l_1']","['93.66', '6.14', '0.20']"
r_118,sprinkle-tool/sprinkle,[],1149,148,"['l_0', 'l_2']","['99.98', '0.02']"
r_119,djanowski/layout,[],7,0,['l_0'],['100.00']
r_120,dan-manges/unit-record,[],110,4,['l_0'],['100.00']
r_121,spejman/rails-generator-generator,[],13,2,['l_0'],['100.00']
r_122,luniki/flexi-templates,[],5,2,"['l_3', 'l_0']","['99.65', '0.35']"
r_123,TekNoLogic/Ampere,[],8,1,['l_24'],['100.00']
r_124,dustin/buildwatch,[],12,4,"['l_18', 'l_6', 'l_8']","['51.36', '41.55', '7.09']"
r_125,andykent/edgy,[],4,1,[],[]
r_126,bscofield/athena,[],19,1,['l_0'],['100.00']
r_127,galo2099/golaberto,[],4,3,"['l_0', 'l_1', 'l_14', 'l_10']","['77.90', '19.16', '2.67', '0.27']"
r_128,rfugger/ripple,[],16,5,['l_8'],['100.00']
r_129,testk/test2,[],3,1,[],[]
r_130,rock-core/autobuild,[],12,19,"['l_0', 'l_4']","['99.92', '0.08']"
r_131,jeremyevans/fixture_dependencies,[],46,26,['l_0'],['100.00']
r_132,osteele/db_content,"['rails-plugins', 'database']",7,1,['l_0'],['100.00']
r_133,farktronix/adiumhud,[],8,1,['l_18'],['100.00']
r_134,jorrel/codes,[],3,0,['l_0'],['100.00']
r_136,daikini/fityk-ruby,[],3,1,"['l_9', 'l_0']","['84.75', '15.25']"
r_137,cardmagic/merb-plugins,[],3,0,['l_0'],['100.00']
r_138,phedders/hobomaster,[],3,1,[],[]
r_139,jvaughan/harplayout,[],3,1,"['l_1', 'l_10']","['78.52', '21.48']"
r_140,gruner/radiant_extensions,[],5,1,['l_0'],['100.00']
r_141,dustin/nextvista,[],2,0,"['l_0', 'l_1']","['99.78', '0.22']"
r_142,eastmedia/git-tmbundle,[],4,0,"['l_0', 'l_1']","['97.70', '2.30']"
r_143,mislav/contacts,[],277,68,['l_0'],['100.00']
r_144,ezmobius/acl_system2,[],56,15,['l_0'],['100.00']
r_145,daikini/matlab-ruby,[],39,9,"['l_6', 'l_0']","['78.81', '21.19']"
r_146,kib2/littleblogger,[],3,2,['l_8'],['100.00']
r_147,FND/tiddlywiki_plugins,[],3,2,[],[]
r_148,arnie/joshissexy,[],3,2,"['l_10', 'l_14', 'l_1']","['96.04', '3.73', '0.24']"
r_149,jredville/treetop,[],3,0,['l_0'],['100.00']
r_150,tmm1/haml,[],3,2,"['l_0', 'l_12']","['95.72', '4.28']"
r_151,kig/thumbnailer,[],45,5,"['l_0', 'l_10', 'l_1']","['93.46', '5.03', '1.51']"
r_152,problem/trails-oldschool,[],11,1,"['l_0', 'l_1']","['66.93', '33.07']"
r_153,croaky/no_cache,[],8,1,['l_0'],['100.00']
r_154,maborg/weshowthemoney-com,[],3,3,"['l_13', 'l_35']","['85.30', '14.70']"
r_155,KirinDave/fuzed-old,[],16,4,"['l_0', 'l_7', 'l_6', 'l_1']","['44.84', '44.84', '5.95', '4.37']"
r_156,pius/tamarind,[],10,2,"['l_0', 'l_1']","['63.58', '36.42']"
r_157,defunkt/mapreducerb,[],26,5,['l_0'],['100.00']
r_158,cobrien/merb-core,[],3,1,"['l_0', 'l_1']","['98.01', '1.99']"
r_159,shantanoo/bhandar,[],2,2,"['l_8', 'l_10']","['72.13', '27.87']"
r_160,voitto/timeframe,[],2,0,['l_1'],['100.00']
r_161,adamhjk/iclassify,[],50,10,"['l_0', 'l_1']","['84.64', '15.36']"
r_162,clarkbw/thunderbird-bugzilla-link-grabber,[],4,1,"['l_1', 'l_4']","['73.31', '26.69']"
r_163,terrbear/leetwit,[],3,0,['l_0'],['100.00']
r_164,ocean/musicfinder-gae,[],3,2,['l_8'],['100.00']
r_165,losinggeneration/buildcross,"['cross-compiler', 'dreamcast', 'z80-assembler', 'gamecube', 'gcc-cross-compiler']",10,1,['l_4'],['100.00']
r_166,scharris/cxpath,[],5,0,[],[]
r_167,jmatt/loc,[],3,0,[],[]
r_168,Grayson/applescripttodictionarywithnutoo,[],5,1,"['l_36', 'l_18']","['96.61', '3.39']"
r_169,fred/amazon_ruby_tools,[],11,2,['l_0'],['100.00']
r_170,pauek/arc-sbcl,[],7,1,"['l_5', 'l_37']","['52.48', '47.52']"
r_171,jruby/activerecord-jdbc-adapter,"['activerecord-jdbc-adapter', 'jruby', 'rails', 'activerecord', 'ar-jdbc']",458,389,"['l_0', 'l_13', 'l_4']","['61.86', '38.12', '0.02']"
r_172,collectiveidea/tinder,[],256,95,"['l_0', 'l_2', 'l_14']","['87.15', '10.34', '2.52']"
r_173,lak/puppet-rubygems,[],8,4,['l_27'],['100.00']
r_174,ELLIOTTCABLE/ystyle,[],4,0,['l_0'],['100.00']
r_175,patrickt/scraps,[],5,0,"['l_38', 'l_4', 'l_8', 'l_14']","['72.58', '12.16', '8.74', '6.52']"
r_176,vubiostat/r-yaml,"['r', 'yaml', 'cran']",144,31,"['l_6', 'l_39', 'l_11', 'l_9']","['90.25', '8.41', '0.79', '0.55']"
r_177,nkallen/rails,[],2,0,"['l_0', 'l_1', 'l_4']","['99.99', '0.00', '0.00']"
r_178,OwlManAtt/smarty-ys,[],3,1,['l_3'],['100.00']
r_179,kmarsh/git-wiki,[],8,3,['l_0'],['100.00']
r_180,joseph/castanaut,[],49,19,"['l_0', 'l_1']","['77.92', '22.08']"
r_181,jmckible/girder,[],3,1,['l_3'],['100.00']
r_182,urandom/p2js,[],12,2,['l_10'],['100.00']
r_183,brucem/ezapprove2,[],5,5,['l_3'],['100.00']
r_184,pehlert/ruby-tilecache,[],10,4,[],[]
r_185,positron/molinator,[],2,2,['l_9'],['100.00']
r_186,cardmagic/dm-core,[],3,29,['l_0'],['100.00']
r_187,mhennemeyer/prag_dave_testing,[],3,0,"['l_0', 'l_1']","['99.60', '0.40']"
r_188,dsisnero/sake-git,[],3,0,['l_0'],['100.00']
r_189,simonjefford/ruby-on-rails-tmbundle,[],5,0,"['l_0', 'l_1']","['82.60', '17.40']"
r_190,xaviershay/enki-vim,[],3,2,['l_0'],['100.00']
r_191,wycats/ruby-spidermonkey,[],15,1,"['l_6', 'l_0', 'l_1']","['67.32', '25.24', '7.43']"
r_192,skyfallsin/openly_sociable,[],7,1,"['l_0', 'l_1']","['66.57', '33.43']"
r_193,lukehoersten/nonblocking,[],1,1,['l_13'],['100.00']
r_194,hubris/starmath,[],2,1,['l_9'],['100.00']
r_195,myabc/merb_global,[],23,6,['l_0'],['100.00']
r_196,gwynm/merb-plugins,[],3,1,['l_0'],['100.00']
r_197,michaelee/cs105,[],2,1,['l_0'],['100.00']
